,label,area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,slice,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,solidity,mean_intensity
4,5,15039,10,22,200,254,44080,113.66181262051998,191.32342575969147,"(slice(10, 200, None), slice(22, 254, None))",1460.5869311194137,-154.08264800942763,-154.08264800942763,1738.26983037356,0.49931936651283243,0.8367666289868565
13,14,14695,35,0,199,217,35588,136.06981966655326,88.07941476692753,"(slice(35, 199, None), slice(0, 217, None))",2476.3997497765904,-967.0301136746602,-967.0301136746602,2005.0382010903106,0.5630483926587225,0.3721134973213511
15,16,164,35,166,48,187,273,41.49390243902439,175.109756097561,"(slice(35, 48, None), slice(166, 187, None))",24.634295062462826,-6.140913146936348,-6.140913146936348,9.054840868530635,0.8817204301075269,0.3358201817312291
27,28,278,44,190,59,248,870,49.64028776978417,218.9820143884892,"(slice(44, 59, None), slice(190, 248, None))",272.82341752497285,-20.21655193830547,-20.21655193830547,10.079240204958342,0.4161676646706587,0.39329947806460713
31,32,1275,52,41,125,80,2847,75.82509803921569,62.09803921568628,"(slice(52, 125, None), slice(41, 80, None))",94.800584390619,-41.7355786236063,-41.7355786236063,217.0572524413687,0.7227891156462585,0.6816485966935794
43,44,272,67,182,116,201,931,96.3970588235294,189.96691176470588,"(slice(67, 116, None), slice(182, 201, None))",22.208463992214547,-8.03519679930796,-8.03519679930796,102.2026384083045,0.4473684210526316,0.49619377162629746
62,63,796,87,96,140,121,1325,109.21859296482413,109.35175879396985,"(slice(87, 140, None), slice(96, 121, None))",32.33857730865383,-12.939439660614632,-12.939439660614632,173.59040807050326,0.7888999008919723,0.6679525076362203
65,66,109,90,239,121,250,341,105.72477064220183,244.045871559633,"(slice(90, 121, None), slice(239, 250, None))",9.34651965322784,-7.618129787054961,-7.618129787054961,35.704065314367476,0.49099099099099097,0.4340708760568447
85,86,82,109,130,141,137,224,126.79268292682927,132.82926829268294,"(slice(109, 141, None), slice(130, 137, None))",1.7757287328970894,-7.745092207019633,-7.745092207019633,79.28628792385484,0.6259541984732825,0.6574844571975131
