,label,area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,slice,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,solidity,mean_intensity
0,1,110537,0,37,436,652,268140,195.99873345576594,371.25443064313305,"(slice(0, 436, None), slice(37, 652, None))",21082.41219132591,-8438.25424627311,-8438.25424627311,14896.077908959754,0.5188824056818555,0.7646624225017725
1,2,60972,5,0,470,650,302250,228.33484222265957,166.54972774388244,"(slice(5, 470, None), slice(0, 650, None))",21891.403336375395,-9987.605355874517,-9987.605355874517,10676.476872354231,0.33153353016981224,0.4692596280131156
2,3,55768,9,266,335,647,124206,136.3202553435662,496.841073734041,"(slice(9, 335, None), slice(266, 647, None))",9628.329587514432,-1369.683840609491,-1369.683840609491,4831.749107724214,0.6027539396035537,0.5439080954430259
28,29,171,32,500,48,521,336,38.64912280701754,509.4561403508772,"(slice(32, 48, None), slice(500, 521, None))",35.32409972299168,11.816558941212682,11.816558941212682,12.145891043397969,0.7276595744680852,0.6529297098956542
31,32,73,35,442,48,452,130,41.38356164383562,446.54794520547944,"(slice(35, 48, None), slice(442, 452, None))",6.713454681929069,4.196472133608557,4.196472133608557,11.770688684556202,0.7227722772277227,0.6230996508192318
130,131,773,96,531,208,544,1456,152.620957309185,536.9443725743855,"(slice(96, 208, None), slice(531, 544, None))",9.250463157436656,-37.01901832379683,-37.01901832379683,788.1784482426795,0.663519313304721,0.6144027598102629
198,199,199,152,353,200,367,672,178.95979899497488,358.8894472361809,"(slice(152, 200, None), slice(353, 367, None))",7.615918789929553,23.381328754324382,23.381328754324382,132.77225322592864,0.5574229691876751,0.6191940092619961
336,337,59,213,436,237,443,168,225.01694915254237,439.8305084745763,"(slice(213, 237, None), slice(436, 443, None))",2.8526285550129242,8.081873024992818,8.081873024992818,40.152255099109446,0.5959595959595959,0.643602525756065
407,408,114,244,639,276,646,224,260.86842105263156,641.9561403508771,"(slice(244, 276, None), slice(639, 646, None))",2.217374576792855,-5.3801939058171735,-5.3801939058171735,55.131809787626956,0.7755102040816326,0.6086343309253524
619,620,137,509,404,514,482,390,512.3576642335767,445.6788321167883,"(slice(509, 514, None), slice(404, 482, None))",376.1012307528371,2.3303852096542164,2.3303852096542164,0.7260908945601682,0.4963768115942029,0.3721768999570631
