,label,area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,slice,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,solidity,mean_intensity
0,1,7273,0,31,461,648,284437,86.09363398872543,462.19221779183283,"(slice(0, 461, None), slice(31, 648, None))",38987.29372742019,-14598.327663919115,-14598.327663919115,16031.9641461919,0.04780591050113057,0.6447014609501164
1,2,144367,1,0,490,646,315894,183.65017628682455,398.8073036081653,"(slice(1, 490, None), slice(0, 646, None))",25091.43377904282,-5075.442027985088,-5075.442027985088,17718.998883768538,0.5031786971524171,0.3873986192868747
20,21,83762,39,0,436,323,128231,259.11875313387935,152.71961032449082,"(slice(39, 436, None), slice(0, 323, None))",8095.776184523779,-1971.4412267627602,-1971.4412267627602,8367.653515467362,0.8065593975984824,0.6112716187929291
30,31,1230,72,22,140,63,2788,102.08617886178862,36.98048780487805,"(slice(72, 140, None), slice(22, 63, None))",81.9101883799326,-7.644770969660935,-7.644770969660935,211.3112723907727,0.6652244456462953,0.4766523194643711
107,108,97,141,319,152,335,176,145.62886597938143,326.69072164948454,"(slice(141, 152, None), slice(319, 335, None))",19.491975767881815,-3.2563503029014766,-3.2563503029014766,7.284939951110639,0.7028985507246377,0.5164746310895492
134,135,4915,152,574,300,629,8140,222.8207527975585,600.711495422177,"(slice(152, 300, None), slice(574, 629, None))",165.3242930841601,78.2879293047939,78.2879293047939,1156.3220922105086,0.779045807576478,0.5300580455987074
147,148,58,158,246,176,253,126,166.79310344827587,248.98275862068965,"(slice(158, 176, None), slice(246, 253, None))",1.9134958382877545,3.124256837098692,3.124256837098692,22.267538644470868,0.6590909090909091,0.4857336037863421
166,167,19339,167,323,470,443,36360,351.67123429339676,380.35549925021974,"(slice(167, 470, None), slice(323, 443, None))",599.4758230857202,-66.16687854764444,-66.16687854764444,6444.101954994438,0.7639344262295082,0.6596135615423065
182,183,74,175,159,192,171,204,182.72972972972974,163.63513513513513,"(slice(175, 192, None), slice(159, 171, None))",10.69119795471147,-6.5365230094959825,-6.5365230094959825,13.251278305332361,0.5441176470588235,0.5137254901960784
184,185,13220,176,443,425,547,25896,327.79349470499244,496.4782148260212,"(slice(176, 425, None), slice(443, 547, None))",450.00746791754113,-45.38279322806627,-45.38279322806627,3628.583376743164,0.8172096185943005,0.569027023820118
213,214,63,189,17,206,27,170,195.36507936507937,21.38095238095238,"(slice(189, 206, None), slice(17, 27, None))",3.7596371882086173,0.15495086923658355,0.15495086923658355,13.882590073066265,0.6116504854368932,0.4839091192032368
308,309,1329,236,0,306,31,2170,264.99322799097064,11.36568848758465,"(slice(236, 306, None), slice(0, 31, None))",59.235722644871245,35.444476150196934,35.444476150196934,249.6831746064099,0.9102739726027397,0.38765104235825254
394,395,114,303,492,331,498,168,315.140350877193,494.5877192982456,"(slice(303, 331, None), slice(492, 498, None))",2.1370421668205606,0.8631886734379814,0.8631886734379814,50.19082794706063,0.8142857142857143,0.4738218094255246
409,410,144,315,377,355,385,320,331.2986111111111,380.7916666666667,"(slice(315, 355, None), slice(377, 385, None))",2.4843749999999876,-5.73582175925926,-5.73582175925926,113.07055362654319,0.5475285171102662,0.4775326797385621
486,487,1492,503,180,514,498,3498,510.75201072386056,322.26340482573727,"(slice(503, 514, None), slice(180, 498, None))",7797.854880632363,-29.938645968849055,-29.938645968849055,3.5712090937193515,0.5247977488568414,0.2838958103348578
