,label,area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,slice,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,solidity,mean_intensity
0,1,101479,0,0,447,636,284292,204.32985149636872,230.71304407808512,"(slice(0, 447, None), slice(0, 636, None))",28930.756588491742,744.3356726458247,744.3356726458247,10355.990952619377,0.3992045727233746,0.6717268848630713
1,2,3092,4,247,42,372,4750,18.713130659767142,313.3098318240621,"(slice(4, 42, None), slice(247, 372, None))",923.7979240338125,-21.814948521327,-21.814948521327,73.96201387296682,0.9035651665692578,0.5292950815513786
2,3,90603,4,0,456,635,287020,177.12702669889518,409.83990596337867,"(slice(4, 456, None), slice(0, 635, None))",19193.986301071694,6334.895836536672,6334.895836536672,10932.855457873608,0.40188872575329465,0.49839517498554886
3,4,12477,9,0,260,246,61746,93.5658411477118,79.66778873126553,"(slice(9, 260, None), slice(0, 246, None))",4370.799389620189,3526.382510895467,3526.382510895467,4866.985746693689,0.3965862496424144,0.5534795788957563
116,117,53,35,42,49,50,112,41.15094339622642,45.698113207547166,"(slice(35, 49, None), slice(42, 50, None))",3.0786756852972577,2.086507653969384,2.086507653969384,16.09042363830545,0.5955056179775281,0.5790603033666297
151,152,347,43,85,64,118,693,54.55619596541787,100.97694524495677,"(slice(43, 64, None), slice(85, 118, None))",59.6767019076647,11.658646778895267,11.658646778895267,20.817447200790635,0.6995967741935484,0.5965078826919817
259,260,1739,68,120,127,187,3953,89.98792409430708,153.9948246118459,"(slice(68, 127, None), slice(120, 187, None))",273.2150393453172,1.8453758960041635,1.8453758960041635,140.3788075940083,0.6264409221902018,0.5672022460508066
273,274,51,73,456,89,465,144,80.70588235294117,460.4117647058824,"(slice(73, 89, None), slice(456, 465, None))",3.379469434832757,4.6239907727797,4.6239907727797,18.403690888119954,0.6071428571428571,0.5940023068050752
280,281,62,76,211,88,224,156,81.85483870967742,217.43548387096774,"(slice(76, 88, None), slice(211, 224, None))",10.6974505723205,-3.9503121748178978,-3.9503121748178978,6.220863683662852,0.62,0.5941176470588236
294,295,119,82,94,96,115,294,87.92436974789916,103.46218487394958,"(slice(82, 96, None), slice(94, 115, None))",30.18134312548549,10.91462467339877,10.91462467339877,11.83461619942094,0.5613207547169812,0.5771955841159992
369,370,142,104,232,124,246,280,112.8169014084507,238.24647887323943,"(slice(104, 124, None), slice(232, 246, None))",9.650515770680421,5.645010910533625,5.645010910533625,19.02281293394168,0.7634408602150538,0.5660314830157414
388,389,6149,112,327,297,398,13135,214.06196129451942,360.9660107334526,"(slice(112, 297, None), slice(327, 398, None))",179.9365581791008,-4.288168793389931,-4.288168793389931,2667.7318901848735,0.6224944320712695,0.6228954811718149
406,407,82,122,258,138,268,160,130.14634146341464,262.5853658536585,"(slice(122, 138, None), slice(258, 268, None))",4.364663890541346,-1.792385484830458,-1.792385484830458,20.441998810232,0.6721311475409836,0.5765662362505977
599,600,150,207,448,226,463,285,216.3,455.67333333333335,"(slice(207, 226, None), slice(448, 463, None))",10.646622222222225,-3.7446666666666664,-3.7446666666666664,19.023333333333337,0.7389162561576355,0.5962352941176471
